Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
India,New Zealand,India,New Zealand,53 runs,Indore,12/15/1988,ODI # 541,541,India,New Zealand
India,New Zealand,India,New Zealand,2 wickets,Vadodara,12/17/1988,ODI # 543,543,India,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,8 wickets,Dunedin,2/6/1989,ODI # 554,554,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 wickets,Christchurch,3/4/1989,ODI # 555,555,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,6 wickets,Wellington,3/8/1989,ODI # 557,557,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,7 wickets,Auckland,3/11/1989,ODI # 559,559,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 wickets,Hamilton,3/14/1989,ODI # 561,561,New Zealand,New Zealand
New Zealand,India,New Zealand,India,108 runs,Dunedin,3/1/1990,ODI # 612,612,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,150 runs,Christchurch,3/4/1990,ODI # 615,615,New Zealand,New Zealand
New Zealand,India,India,New Zealand,1 run,Wellington,3/6/1990,ODI # 616,616,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,10 runs,Auckland,3/10/1990,ODI # 619,619,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,8 wickets,Auckland,3/11/1990,ODI # 620,620,New Zealand,New Zealand
Australia,New Zealand,Australia,New Zealand,63 runs,Sharjah,4/26/1990,ODI # 624,624,United Arab Emirates,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,161 runs,Sharjah,4/28/1990,ODI # 626,626,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,8 wickets,Sharjah,5/1/1990,ODI # 629,629,United Arab Emirates,New Zealand
England,New Zealand,New Zealand,England,4 wickets,Leeds,5/23/1990,ODI # 632,632,England,New Zealand
England,New Zealand,England,New Zealand,6 wickets,The Oval,5/25/1990,ODI # 633,633,England,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,19 runs,Lahore,11/2/1990,ODI # 636,636,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,8 wickets,Peshawar,11/4/1990,ODI # 637,637,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,105 runs,Sialkot,11/6/1990,ODI # 638,638,Pakistan,New Zealand
Australia,New Zealand,Australia,New Zealand,61 runs,Sydney,11/29/1990,ODI # 642,642,Australia,New Zealand
England,New Zealand,New Zealand,England,7 runs,Adelaide,12/1/1990,ODI # 643,643,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Adelaide,12/2/1990,ODI # 645,645,Australia,New Zealand
England,New Zealand,England,New Zealand,4 wickets,Perth,12/7/1990,ODI # 647,647,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,39 runs,Melbourne,12/11/1990,ODI # 650,650,Australia,New Zealand
England,New Zealand,England,New Zealand,33 runs,Sydney,12/13/1990,ODI # 651,651,Australia,New Zealand
England,New Zealand,New Zealand,England,8 wickets,Brisbane,12/15/1990,ODI # 652,652,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,1 run,Hobart,12/18/1990,ODI # 654,654,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Sydney,1/13/1991,ODI # 663,663,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,7 wickets,Melbourne,1/15/1991,ODI # 664,664,Australia,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Napier,1/26/1991,ODI # 665,665,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,41 runs,Auckland,1/28/1991,ODI # 666,666,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,107 runs,Dunedin,2/6/1991,ODI # 667,667,New Zealand,New Zealand
New Zealand,England,England,New Zealand,14 runs,Christchurch,2/9/1991,ODI # 668,668,New Zealand,New Zealand
New Zealand,England,New Zealand,England,9 runs,Wellington,2/13/1991,ODI # 669,669,New Zealand,New Zealand
New Zealand,England,New Zealand,England,7 runs,Auckland,2/16/1991,ODI # 670,670,New Zealand,New Zealand
New Zealand,England,England,New Zealand,7 wickets,Auckland,1/11/1992,ODI # 701,701,New Zealand,New Zealand
New Zealand,England,England,New Zealand,3 wickets,Dunedin,2/12/1992,ODI # 712,712,New Zealand,New Zealand
New Zealand,England,England,New Zealand,71 runs,Christchurch,2/15/1992,ODI # 713,713,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,37 runs,Auckland,2/22/1992,ODI # 714,714,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,6 wickets,Hamilton,2/25/1992,ODI # 718,718,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,7 wickets,Auckland,2/29/1992,ODI # 723,723,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,48 runs,Napier,3/3/1992,ODI # 728,728,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,5 wickets,Auckland,3/8/1992,ODI # 734,734,New Zealand,New Zealand
New Zealand,India,New Zealand,India,4 wickets,Dunedin,3/12/1992,ODI # 740,740,New Zealand,New Zealand
New Zealand,England,New Zealand,England,7 wickets,Wellington,3/15/1992,ODI # 744,744,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,7 wickets,Christchurch,3/18/1992,ODI # 747,747,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,4 wickets,Auckland,3/21/1992,ODI # 750,750,New Zealand,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,22 runs,Bulawayo,10/31/1992,ODI # 765,765,Zimbabwe,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,4 wickets,Harare,11/8/1992,ODI # 766,766,Zimbabwe,New Zealand
Sri Lanka,New Zealand,no result,Sri Lanka,,Colombo (RPS),12/4/1992,ODI # 768,768,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,8 wickets,Colombo (PSS),12/12/1992,ODI # 776,776,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,31 runs,Colombo (RPS),12/13/1992,ODI # 778,778,Sri Lanka,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,50 runs,Wellington,12/26/1992,ODI # 785,785,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,6 wickets,Napier,12/28/1992,ODI # 786,786,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,6 wickets,Auckland,12/30/1992,ODI # 787,787,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,129 runs,Dunedin,3/19/1993,ODI # 816,816,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,1 wicket,Christchurch,3/21/1993,ODI # 819,819,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,88 runs,Wellington,3/24/1993,ODI # 822,822,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,3 wickets,Hamilton,3/27/1993,ODI # 825,825,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,3 runs,Auckland,3/28/1993,ODI # 827,827,New Zealand,New Zealand
Australia,New Zealand,Australia,New Zealand,8 wickets,Adelaide,12/12/1993,ODI # 861,861,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,3 runs,Melbourne,12/16/1993,ODI # 863,863,Australia,New Zealand
New Zealand,South Africa,New Zealand,South Africa,4 wickets,Hobart,12/18/1993,ODI # 865,865,Australia,New Zealand
New Zealand,South Africa,New Zealand,South Africa,9 runs,Brisbane,1/8/1994,ODI # 870,870,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,13 runs,Sydney,1/11/1994,ODI # 872,872,Australia,New Zealand
New Zealand,South Africa,South Africa,New Zealand,5 wickets,Perth,1/14/1994,ODI # 873,873,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,51 runs,Melbourne,1/19/1994,ODI # 875,875,Australia,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,5 wickets,Dunedin,3/3/1994,ODI # 889,889,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,36 runs,Auckland,3/6/1994,ODI # 891,891,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,11 runs,Wellington,3/9/1994,ODI # 893,893,New Zealand,New Zealand
New Zealand,Pakistan,tied,New Zealand,,Auckland,3/13/1994,ODI # 894,894,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 wickets,Christchurch,3/16/1994,ODI # 895,895,New Zealand,New Zealand
New Zealand,India,New Zealand,India,28 runs,Napier,3/25/1994,ODI # 896,896,New Zealand,New Zealand
New Zealand,India,India,New Zealand,7 wickets,Auckland,3/27/1994,ODI # 897,897,New Zealand,New Zealand
New Zealand,India,India,New Zealand,12 runs,Wellington,3/30/1994,ODI # 898,898,New Zealand,New Zealand
New Zealand,India,New Zealand,India,6 wickets,Christchurch,4/2/1994,ODI # 899,899,New Zealand,New Zealand
Australia,New Zealand,Australia,New Zealand,7 wickets,Sharjah,4/16/1994,ODI # 907,907,United Arab Emirates,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,2 runs,Sharjah,4/18/1994,ODI # 909,909,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,62 runs,Sharjah,4/20/1994,ODI # 911,911,United Arab Emirates,New Zealand
England,New Zealand,England,New Zealand,42 runs,Birmingham,5/19/1994,ODI # 913,913,England,New Zealand
New Zealand,West Indies,no result,New Zealand,,Margao,10/26/1994,ODI # 938,938,India,New Zealand
India,New Zealand,India,New Zealand,7 wickets,Vadodara,10/28/1994,ODI # 939,939,India,New Zealand
New Zealand,West Indies,West Indies,New Zealand,135 runs,Guwahati,11/1/1994,ODI # 943,943,India,New Zealand
India,New Zealand,India,New Zealand,107 runs,Delhi,11/3/1994,ODI # 944,944,India,New Zealand
South Africa,New Zealand,South Africa,New Zealand,69 runs,Cape Town,12/6/1994,ODI # 956,956,South Africa,New Zealand
New Zealand,Sri Lanka,no result,New Zealand,,Bloemfontein,12/8/1994,ODI # 958,958,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,81 runs,Centurion,12/11/1994,ODI # 960,960,South Africa,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,5 wickets,Gqeberha,12/13/1994,ODI # 961,961,South Africa,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,5 wickets,East London,12/18/1994,ODI # 965,965,South Africa,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,5 wickets,East London,12/19/1994,ODI # 966,966,South Africa,New Zealand
New Zealand,West Indies,West Indies,New Zealand,25 runs,Auckland,1/22/1995,ODI # 972,972,New Zealand,New Zealand
New Zealand,West Indies,West Indies,New Zealand,41 runs,Wellington,1/25/1995,ODI # 973,973,New Zealand,New Zealand
New Zealand,West Indies,West Indies,New Zealand,9 wickets,Christchurch,1/28/1995,ODI # 974,974,New Zealand,New Zealand
New Zealand,India,New Zealand,India,4 wickets,Napier,2/16/1995,ODI # 976,976,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,27 runs,Auckland,2/19/1995,ODI # 978,978,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,46 runs,Christchurch,2/23/1995,ODI # 981,981,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,6 wickets,Auckland,2/26/1995,ODI # 983,983,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,33 runs,Christchurch,3/26/1995,ODI # 990,990,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,57 runs,Hamilton,3/29/1995,ODI # 991,991,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,51 runs,Auckland,4/1/1995,ODI # 992,992,New Zealand,New Zealand
India,New Zealand,New Zealand,India,8 wickets,Jamshedpur,11/15/1995,ODI # 1015,1015,India,New Zealand
India,New Zealand,India,New Zealand,6 wickets,Amritsar,11/18/1995,ODI # 1016,1016,India,New Zealand
India,New Zealand,India,New Zealand,5 wickets,Pune,11/24/1995,ODI # 1017,1017,India,New Zealand
India,New Zealand,New Zealand,India,99 runs,Nagpur,11/26/1995,ODI # 1018,1018,India,New Zealand
India,New Zealand,India,New Zealand,6 wickets,Brabourne,11/29/1995,ODI # 1019,1019,India,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,20 runs,Dunedin,12/15/1995,ODI # 1020,1020,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,1 wicket,Christchurch,12/17/1995,ODI # 1022,1022,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,54 runs,Wellington,12/20/1995,ODI # 1025,1025,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,32 runs,Auckland,12/23/1995,ODI # 1027,1027,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,74 runs,Auckland,1/28/1996,ODI # 1045,1045,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,6 wickets,Wellington,1/31/1996,ODI # 1046,1046,New Zealand,New Zealand
New Zealand,Zimbabwe,Zimbabwe,New Zealand,21 runs,Napier,2/3/1996,ODI # 1047,1047,New Zealand,New Zealand
England,New Zealand,New Zealand,England,11 runs,Ahmedabad,2/14/1996,ODI # 1048,1048,India,New Zealand
Netherlands,New Zealand,New Zealand,Netherlands,119 runs,Vadodara,2/17/1996,ODI # 1051,1051,India,New Zealand
New Zealand,South Africa,South Africa,New Zealand,5 wickets,Faisalabad,2/20/1996,ODI # 1054,1054,Pakistan,New Zealand
New Zealand,U.A.E.,New Zealand,U.A.E.,109 runs,Faisalabad,2/27/1996,ODI # 1064,1064,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,46 runs,Lahore,3/6/1996,ODI # 1076,1076,Pakistan,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Chennai,3/11/1996,ODI # 1080,1080,India,New Zealand
West Indies,New Zealand,West Indies,New Zealand,1 wicket,Kingston,3/26/1996,ODI # 1084,1084,West Indies,New Zealand
West Indies,New Zealand,New Zealand,West Indies,4 wickets,Port of Spain,3/29/1996,ODI # 1085,1085,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,7 wickets,Port of Spain,3/30/1996,ODI # 1086,1086,West Indies,New Zealand
West Indies,New Zealand,New Zealand,West Indies,4 runs,Georgetown,4/3/1996,ODI # 1090,1090,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,7 wickets,Kingstown,4/6/1996,ODI # 1092,1092,West Indies,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,29 runs,Sharjah,11/7/1996,ODI # 1139,1139,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,4 wickets,Sharjah,11/10/1996,ODI # 1141,1141,United Arab Emirates,New Zealand
New Zealand,Sri Lanka,tied,New Zealand,,Sharjah,11/11/1996,ODI # 1142,1142,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,4 wickets,Sharjah,11/13/1996,ODI # 1144,1144,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,41 runs,Sharjah,11/15/1996,ODI # 1145,1145,United Arab Emirates,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,11 runs,Gujranwala,12/4/1996,ODI # 1146,1146,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,46 runs,Sialkot,12/6/1996,ODI # 1148,1148,Pakistan,New Zealand
Pakistan,New Zealand,New Zealand,Pakistan,7 wickets,Karachi,12/8/1996,ODI # 1150,1150,Pakistan,New Zealand
New Zealand,England,England,New Zealand,4 wickets,Christchurch,2/20/1997,ODI # 1179,1179,New Zealand,New Zealand
New Zealand,England,England,New Zealand,6 wickets,Auckland,2/23/1997,ODI # 1180,1180,New Zealand,New Zealand
New Zealand,England,tied,New Zealand,,Napier,2/26/1997,ODI # 1181,1181,New Zealand,New Zealand
New Zealand,England,New Zealand,England,9 runs,Auckland,3/2/1997,ODI # 1182,1182,New Zealand,New Zealand
New Zealand,England,New Zealand,England,28 runs,Wellington,3/4/1997,ODI # 1183,1183,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,6 wickets,Christchurch,3/25/1997,ODI # 1184,1184,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,69 runs,Wellington,3/27/1997,ODI # 1185,1185,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,22 runs,Mohali,5/9/1997,ODI # 1204,1204,India,New Zealand
India,New Zealand,India,New Zealand,8 wickets,Bengaluru,5/14/1997,ODI # 1206,1206,India,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,52 runs,Hyderabad (Deccan),5/20/1997,ODI # 1208,1208,India,New Zealand
Zimbabwe,New Zealand,tied,Zimbabwe,,Bulawayo,10/1/1997,ODI # 1235,1235,Zimbabwe,New Zealand
Zimbabwe,New Zealand,Zimbabwe,New Zealand,3 wickets,Harare,10/4/1997,ODI # 1237,1237,Zimbabwe,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,83 runs,Harare,10/5/1997,ODI # 1238,1238,Zimbabwe,New Zealand
New Zealand,South Africa,New Zealand,South Africa,47 runs,Adelaide,12/6/1997,ODI # 1255,1255,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,3 wickets,Adelaide,12/7/1997,ODI # 1256,1256,Australia,New Zealand
New Zealand,South Africa,South Africa,New Zealand,1 run,Hobart,12/11/1997,ODI # 1258,1258,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Melbourne,12/17/1997,ODI # 1265,1265,Australia,New Zealand
New Zealand,South Africa,South Africa,New Zealand,2 runs,Brisbane,1/9/1998,ODI # 1270,1270,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,131 runs,Sydney,1/14/1998,ODI # 1275,1275,Australia,New Zealand
New Zealand,South Africa,South Africa,New Zealand,67 runs,Perth,1/16/1998,ODI # 1278,1278,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,4 wickets,Melbourne,1/21/1998,ODI # 1281,1281,Australia,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,40 runs,Hamilton,2/4/1998,ODI # 1288,1288,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,8 wickets,Wellington,2/6/1998,ODI # 1289,1289,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,7 wickets,Christchurch,2/8/1998,ODI # 1290,1290,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,66 runs,Wellington,2/10/1998,ODI # 1291,1291,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,7 wickets,Napier,2/12/1998,ODI # 1292,1292,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,30 runs,Auckland,2/14/1998,ODI # 1293,1293,New Zealand,New Zealand
New Zealand,Zimbabwe,Zimbabwe,New Zealand,1 run,Christchurch,3/4/1998,ODI # 1294,1294,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,9 wickets,Napier,3/6/1998,ODI # 1295,1295,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,2 runs,Auckland,3/8/1998,ODI # 1296,1296,New Zealand,New Zealand
India,New Zealand,India,New Zealand,15 runs,Sharjah,4/17/1998,ODI # 1319,1319,United Arab Emirates,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Sharjah,4/18/1998,ODI # 1320,1320,United Arab Emirates,New Zealand
India,New Zealand,New Zealand,India,4 wickets,Sharjah,4/20/1998,ODI # 1323,1323,United Arab Emirates,New Zealand
Australia,New Zealand,Australia,New Zealand,5 wickets,Sharjah,4/21/1998,ODI # 1324,1324,United Arab Emirates,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,7 wickets,Colombo (RPS),6/21/1998,ODI # 1339,1339,Sri Lanka,New Zealand
India,New Zealand,no result,India,,Colombo (RPS),6/23/1998,ODI # 1340,1340,Sri Lanka,New Zealand
India,New Zealand,no result,India,,Colombo (SSC),7/3/1998,ODI # 1342,1342,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,87 runs,Colombo (SSC),7/5/1998,ODI # 1343,1343,Sri Lanka,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,5 wickets,Dhaka,10/24/1998,ODI # 1357,1357,Bangladesh,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,5 wickets,Dhaka,10/26/1998,ODI # 1359,1359,Bangladesh,New Zealand
New Zealand,India,New Zealand,India,5 wickets,Taupo,1/9/1999,ODI # 1378,1378,New Zealand,New Zealand
New Zealand,India,India,New Zealand,2 wickets,Napier,1/12/1999,ODI # 1381,1381,New Zealand,New Zealand
New Zealand,India,no result,New Zealand,,Wellington,1/14/1999,ODI # 1383,1383,New Zealand,New Zealand
New Zealand,India,India,New Zealand,5 wickets,Auckland,1/16/1999,ODI # 1385,1385,New Zealand,New Zealand
New Zealand,India,New Zealand,India,70 runs,Christchurch,1/19/1999,ODI # 1387,1387,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,3 wickets,Dunedin,2/14/1999,ODI # 1407,1407,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,7 wickets,Christchurch,2/17/1999,ODI # 1408,1408,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,7 wickets,Auckland,2/20/1999,ODI # 1409,1409,New Zealand,New Zealand
New Zealand,South Africa,no result,New Zealand,,Napier,3/25/1999,ODI # 1419,1419,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,2 wickets,Napier,3/26/1999,ODI # 1421,1421,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,143 runs,Auckland,3/27/1999,ODI # 1422,1422,New Zealand,New Zealand
New Zealand,South Africa,no result,New Zealand,,Wellington,3/30/1999,ODI # 1425,1425,New Zealand,New Zealand
Bangladesh,New Zealand,New Zealand,Bangladesh,6 wickets,Chelmsford,5/17/1999,ODI # 1448,1448,England,New Zealand
Australia,New Zealand,New Zealand,Australia,5 wickets,Cardiff,5/20/1999,ODI # 1452,1452,Wales,New Zealand
New Zealand,West Indies,West Indies,New Zealand,7 wickets,Southampton,5/24/1999,ODI # 1460,1460,England,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,62 runs,Derby,5/28/1999,ODI # 1466,1466,England,New Zealand
Scotland,New Zealand,New Zealand,Scotland,6 wickets,Edinburgh,5/31/1999,ODI # 1472,1472,Scotland,New Zealand
New Zealand,Zimbabwe,no result,New Zealand,,Leeds,6/6/1999,ODI # 1475,1475,England,New Zealand
New Zealand,South Africa,South Africa,New Zealand,74 runs,Birmingham,6/10/1999,ODI # 1478,1478,England,New Zealand
India,New Zealand,New Zealand,India,5 wickets,Nottingham,6/12/1999,ODI # 1480,1480,England,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,9 wickets,Manchester,6/16/1999,ODI # 1482,1482,England,New Zealand
India,New Zealand,New Zealand,India,43 runs,Rajkot,11/5/1999,ODI # 1522,1522,India,New Zealand
India,New Zealand,India,New Zealand,174 runs,Hyderabad (Deccan),11/8/1999,ODI # 1523,1523,India,New Zealand
India,New Zealand,India,New Zealand,14 runs,Gwalior,11/11/1999,ODI # 1524,1524,India,New Zealand
India,New Zealand,New Zealand,India,48 runs,Guwahati,11/14/1999,ODI # 1525,1525,India,New Zealand
India,New Zealand,India,New Zealand,7 wickets,Delhi,11/17/1999,ODI # 1526,1526,India,New Zealand
New Zealand,West Indies,New Zealand,West Indies,3 wickets,Auckland,1/2/2000,ODI # 1532,1532,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,7 wickets,Taupo,1/4/2000,ODI # 1533,1533,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,4 wickets,Napier,1/6/2000,ODI # 1534,1534,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,8 wickets,Wellington,1/8/2000,ODI # 1535,1535,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,20 runs,Christchurch,1/11/2000,ODI # 1538,1538,New Zealand,New Zealand
New Zealand,Australia,no result,New Zealand,,Wellington,2/17/2000,ODI # 1563,1563,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,5 wickets,Auckland,2/19/2000,ODI # 1565,1565,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,50 runs,Dunedin,2/23/2000,ODI # 1568,1568,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,48 runs,Christchurch,2/26/2000,ODI # 1569,1569,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,5 wickets,Napier,3/1/2000,ODI # 1570,1570,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,7 wickets,Auckland,3/3/2000,ODI # 1571,1571,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,12 runs,Singapore,8/20/2000,ODI # 1623,1623,Singapore,New Zealand
New Zealand,South Africa,South Africa,New Zealand,8 wickets,Singapore,8/25/2000,ODI # 1625,1625,Singapore,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,7 wickets,Harare,9/27/2000,ODI # 1627,1627,Zimbabwe,New Zealand
Zimbabwe,New Zealand,Zimbabwe,New Zealand,21 runs,Bulawayo,9/30/2000,ODI # 1628,1628,Zimbabwe,New Zealand
Zimbabwe,New Zealand,Zimbabwe,New Zealand,6 wickets,Bulawayo,10/1/2000,ODI # 1629,1629,Zimbabwe,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,64 runs,Nairobi (Gym),10/9/2000,ODI # 1635,1635,Kenya,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,4 wickets,Nairobi (Gym),10/11/2000,ODI # 1637,1637,Kenya,New Zealand
India,New Zealand,New Zealand,India,4 wickets,Nairobi (Gym),10/15/2000,ODI # 1639,1639,Kenya,New Zealand
South Africa,New Zealand,no result,South Africa,,Potchefstroom,10/20/2000,ODI # 1641,1641,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,6 wickets,Benoni,10/22/2000,ODI # 1643,1643,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,115 runs,Centurion,10/25/2000,ODI # 1647,1647,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,5 wickets,Kimberley,10/28/2000,ODI # 1651,1651,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,6 wickets,Durban,11/1/2000,ODI # 1654,1654,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,3 wickets,Cape Town,11/4/2000,ODI # 1655,1655,South Africa,New Zealand
New Zealand,Zimbabwe,Zimbabwe,New Zealand,70 runs,Taupo,1/2/2001,ODI # 1663,1663,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,8 wickets,Wellington,1/4/2001,ODI # 1664,1664,New Zealand,New Zealand
New Zealand,Zimbabwe,Zimbabwe,New Zealand,1 wicket,Auckland,1/7/2001,ODI # 1665,1665,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,61 runs,Napier,1/31/2001,ODI # 1680,1680,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,3 wickets,Wellington,2/3/2001,ODI # 1682,1682,New Zealand,New Zealand
