Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Sri Lanka
England,Sri Lanka,England,Sri Lanka,6 wickets,The Oval,6/29/2016,ODI # 3757,3757,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,122 runs,Cardiff,7/2/2016,ODI # 3758,3758,Wales,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,3 wickets,Colombo (RPS),8/21/2016,ODI # 3768,3768,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,82 runs,Colombo (RPS),8/24/2016,ODI # 3769,3769,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,2 wickets,Dambulla,8/28/2016,ODI # 3772,3772,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,6 wickets,Dambulla,8/31/2016,ODI # 3774,3774,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,5 wickets,Pallekele,9/4/2016,ODI # 3776,3776,Sri Lanka,Sri Lanka
Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,8 wickets,Harare,11/14/2016,ODI # 3804,3804,Zimbabwe,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,62 runs,Harare,11/16/2016,ODI # 3805,3805,Zimbabwe,Sri Lanka
Zimbabwe,Sri Lanka,no result,Zimbabwe,,Bulawayo,11/21/2016,ODI # 3807,3807,Zimbabwe,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,1 run,Bulawayo,11/23/2016,ODI # 3808,3808,Zimbabwe,Sri Lanka
Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,6 wickets,Bulawayo,11/27/2016,ODI # 3810,3810,Zimbabwe,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,8 wickets,Gqeberha,1/28/2017,ODI # 3828,3828,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,121 runs,Durban,2/1/2017,ODI # 3830,3830,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,7 wickets,Johannesburg,2/4/2017,ODI # 3831,3831,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,40 runs,Cape Town,2/7/2017,ODI # 3833,3833,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,88 runs,Centurion,2/10/2017,ODI # 3834,3834,South Africa,Sri Lanka
Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,90 runs,Dambulla,3/25/2017,ODI # 3855,3855,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,no result,Sri Lanka,,Dambulla,3/28/2017,ODI # 3856,3856,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,70 runs,Colombo (SSC),4/1/2017,ODI # 3858,3858,Sri Lanka,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,96 runs,The Oval,6/3/2017,ODI # 3877,3877,England,Sri Lanka
India,Sri Lanka,Sri Lanka,India,7 wickets,The Oval,6/8/2017,ODI # 3882,3882,England,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,3 wickets,Cardiff,6/12/2017,ODI # 3888,3888,Wales,Sri Lanka
Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,6 wickets,Galle,6/30/2017,ODI # 3897,3897,Sri Lanka,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,7 wickets,Galle,7/2/2017,ODI # 3899,3899,Sri Lanka,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Hambantota,7/6/2017,ODI # 3901,3901,Sri Lanka,Sri Lanka
Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,4 wickets,Hambantota,7/8/2017,ODI # 3903,3903,Sri Lanka,Sri Lanka
Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,3 wickets,Hambantota,7/10/2017,ODI # 3904,3904,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,9 wickets,Dambulla,8/20/2017,ODI # 3905,3905,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,3 wickets,Pallekele,8/24/2017,ODI # 3906,3906,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,6 wickets,Pallekele,8/27/2017,ODI # 3907,3907,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,168 runs,Colombo (RPS),8/31/2017,ODI # 3908,3908,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,6 wickets,Colombo (RPS),9/3/2017,ODI # 3909,3909,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,83 runs,Dubai (DSC),10/13/2017,ODI # 3922,3922,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,32 runs,Abu Dhabi,10/16/2017,ODI # 3924,3924,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Abu Dhabi,10/18/2017,ODI # 3926,3926,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Sharjah,10/20/2017,ODI # 3927,3927,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,9 wickets,Sharjah,10/23/2017,ODI # 3930,3930,United Arab Emirates,Sri Lanka
India,Sri Lanka,Sri Lanka,India,7 wickets,Dharamsala,12/10/2017,ODI # 3939,3939,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,141 runs,Mohali,12/13/2017,ODI # 3941,3941,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,8 wickets,Visakhapatnam,12/17/2017,ODI # 3942,3942,India,Sri Lanka
Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,12 runs,Mirpur,1/17/2018,ODI # 3955,3955,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,163 runs,Mirpur,1/19/2018,ODI # 3959,3959,Bangladesh,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,5 wickets,Mirpur,1/21/2018,ODI # 3962,3962,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,10 wickets,Mirpur,1/25/2018,ODI # 3965,3965,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,79 runs,Mirpur,1/27/2018,ODI # 3967,3967,Bangladesh,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,5 wickets,Dambulla,7/29/2018,ODI # 4025,4025,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,4 wickets,Dambulla,8/1/2018,ODI # 4027,4027,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,78 runs,Pallekele,8/5/2018,ODI # 4029,4029,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,3 runs,Pallekele,8/8/2018,ODI # 4030,4030,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,178 runs,Colombo (RPS),8/12/2018,ODI # 4031,4031,Sri Lanka,Sri Lanka
Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,137 runs,Dubai (DSC),9/15/2018,ODI # 4036,4036,United Arab Emirates,Sri Lanka
Afghanistan,Sri Lanka,Afghanistan,Sri Lanka,91 runs,Abu Dhabi,9/17/2018,ODI # 4038,4038,United Arab Emirates,Sri Lanka
Sri Lanka,England,no result,Sri Lanka,,Dambulla,10/10/2018,ODI # 4052,4052,Sri Lanka,Sri Lanka
Sri Lanka,England,England,Sri Lanka,31 runs,Dambulla,10/13/2018,ODI # 4053,4053,Sri Lanka,Sri Lanka
Sri Lanka,England,England,Sri Lanka,7 wickets,Pallekele,10/17/2018,ODI # 4054,4054,Sri Lanka,Sri Lanka
Sri Lanka,England,England,Sri Lanka,18 runs,Pallekele,10/20/2018,ODI # 4055,4055,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,219 runs,Colombo (RPS),10/23/2018,ODI # 4058,4058,Sri Lanka,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,45 runs,Mount Maunganui,1/3/2019,ODI # 4074,4074,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,21 runs,Mount Maunganui,1/5/2019,ODI # 4075,4075,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,115 runs,Nelson,1/8/2019,ODI # 4076,4076,New Zealand,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,8 wickets,Johannesburg,3/3/2019,ODI # 4104,4104,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,113 runs,Centurion,3/6/2019,ODI # 4107,4107,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,71 runs,Durban,3/10/2019,ODI # 4112,4112,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,6 wickets,Gqeberha,3/13/2019,ODI # 4114,4114,South Africa,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,41 runs,Cape Town,3/16/2019,ODI # 4115,4115,South Africa,Sri Lanka
Scotland,Sri Lanka,Sri Lanka,Scotland,35 runs,Edinburgh,5/21/2019,ODI # 4142,4142,Scotland,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,10 wickets,Cardiff,6/1/2019,ODI # 4145,4145,Wales,Sri Lanka
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,34 runs,Cardiff,6/4/2019,ODI # 4149,4149,Wales,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,87 runs,The Oval,6/15/2019,ODI # 4159,4159,England,Sri Lanka
England,Sri Lanka,Sri Lanka,England,20 runs,Leeds,6/21/2019,ODI # 4168,4168,England,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,9 wickets,Chester-le-Street,6/28/2019,ODI # 4176,4176,England,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,23 runs,Chester-le-Street,7/1/2019,ODI # 4180,4180,England,Sri Lanka
India,Sri Lanka,India,Sri Lanka,7 wickets,Leeds,7/6/2019,ODI # 4187,4187,England,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,91 runs,Colombo (RPS),7/26/2019,ODI # 4193,4193,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,7 wickets,Colombo (RPS),7/28/2019,ODI # 4194,4194,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,122 runs,Colombo (RPS),7/31/2019,ODI # 4195,4195,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,67 runs,Karachi,9/30/2019,ODI # 4211,4211,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Karachi,10/2/2019,ODI # 4212,4212,Pakistan,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,1 wicket,Colombo (SSC),2/22/2020,ODI # 4246,4246,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,161 runs,Hambantota,2/26/2020,ODI # 4247,4247,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,6 runs,Pallekele,3/1/2020,ODI # 4250,4250,Sri Lanka,Sri Lanka
West Indies,Sri Lanka,West Indies,Sri Lanka,8 wickets,North Sound,3/10/2021,ODI # 4276,4276,West Indies,Sri Lanka
West Indies,Sri Lanka,West Indies,Sri Lanka,5 wickets,North Sound,3/12/2021,ODI # 4277,4277,West Indies,Sri Lanka
West Indies,Sri Lanka,West Indies,Sri Lanka,5 wickets,North Sound,3/14/2021,ODI # 4278,4278,West Indies,Sri Lanka
Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,33 runs,Mirpur,5/23/2021,ODI # 4290,4290,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,103 runs,Mirpur,5/25/2021,ODI # 4291,4291,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,97 runs,Mirpur,5/28/2021,ODI # 4292,4292,Bangladesh,Sri Lanka
England,Sri Lanka,England,Sri Lanka,5 wickets,Chester-le-Street,6/29/2021,ODI # 4296,4296,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,8 wickets,The Oval,7/1/2021,ODI # 4297,4297,England,Sri Lanka
England,Sri Lanka,no result,England,,Bristol,7/4/2021,ODI # 4298,4298,England,Sri Lanka
Sri Lanka,India,India,Sri Lanka,7 wickets,Colombo (RPS),7/18/2021,ODI # 4307,4307,Sri Lanka,Sri Lanka
Sri Lanka,India,India,Sri Lanka,3 wickets,Colombo (RPS),7/20/2021,ODI # 4309,4309,Sri Lanka,Sri Lanka
Sri Lanka,India,Sri Lanka,India,3 wickets,Colombo (RPS),7/23/2021,ODI # 4312,4312,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,14 runs,Colombo (RPS),9/2/2021,ODI # 4314,4314,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,67 runs,Colombo (RPS),9/4/2021,ODI # 4315,4315,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,78 runs,Colombo (RPS),9/7/2021,ODI # 4318,4318,Sri Lanka,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,5 wickets,Pallekele,1/16/2022,ODI # 4341,4341,Sri Lanka,Sri Lanka
Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,22 runs,Pallekele,1/18/2022,ODI # 4343,4343,Sri Lanka,Sri Lanka
Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,184 runs,Pallekele,1/21/2022,ODI # 4347,4347,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,2 wickets,Pallekele,6/14/2022,ODI # 4409,4409,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,26 runs,Pallekele,6/16/2022,ODI # 4412,4412,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,6 wickets,Colombo (RPS),6/19/2022,ODI # 4415,4415,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,4 runs,Colombo (RPS),6/21/2022,ODI # 4416,4416,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Australia,Sri Lanka,4 wickets,Colombo (RPS),6/24/2022,ODI # 4418,4418,Sri Lanka,Sri Lanka
Sri Lanka,Afghanistan,Afghanistan,Sri Lanka,60 runs,Pallekele,11/25/2022,ODI # 4485,4485,Sri Lanka,Sri Lanka
Sri Lanka,Afghanistan,no result,Sri Lanka,,Pallekele,11/27/2022,ODI # 4488,4488,Sri Lanka,Sri Lanka
Sri Lanka,Afghanistan,Sri Lanka,Afghanistan,4 wickets,Pallekele,11/30/2022,ODI # 4490,4490,Sri Lanka,Sri Lanka
